Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
CDS-ndhI,285,805,35.9346%,100.0000%,1.00000000,0.10775785,0.03748293,0.00692303,0.00002389,0.03055990,0.00007601,88.7719%,34.6107%
CDS-ndhJ,288,560,14.7545%,100.0000%,1.00000000,0.08365826,0.02841856,0.00480353,0.00001764,0.02361503,0.00006168,80.5556%,39.8999%
CDS-ndhK,280,1194,40.2548%,100.0000%,1.00000000,0.12787367,0.03752841,0.00619934,0.00002675,0.03132907,0.00017702,89.2857%,38.2312%
CDS-orf42,7,129,0.0000%,85.7143%,0.89822652,0.03396087,0.01587465,0.00227402,0.00000000,0.01360063,0.00190765,14.2857%,52.0487%
CDS-orf56,3,211,45.4976%,100.0000%,1.00000000,0.59715640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.1014%
CDS-pafI,22,516,1.6385%,100.0000%,1.00000000,0.06848384,0.03043794,0.00699413,0.00034982,0.02344381,0.00070806,86.3636%,39.1098%
CDS-pafiI,26,558,1.8610%,100.0000%,1.00000000,0.14262476,0.05667003,0.00951284,0.00032731,0.04715719,0.00093355,88.4615%,39.2892%
CDS-pbf1,36,132,0.0000%,97.2222%,0.98925409,0.06237374,0.02291966,0.00750128,0.00019405,0.01541838,0.00035311,58.3333%,44.7811%
CDS-petA,302,1026,6.3543%,100.0000%,1.00000000,0.10155990,0.03428114,0.00591501,0.00001952,0.02836613,0.00006226,95.3642%,39.9420%
CDS-petB,300,741,12.5655%,100.0000%,1.00000000,0.07447356,0.02429530,0.00451191,0.00001365,0.01978339,0.00004493,90.0000%,40.0495%
CDS-petD,298,687,27.9828%,100.0000%,1.00000000,0.08482909,0.02618313,0.00522555,0.00001597,0.02095758,0.00004716,85.2349%,38.2222%
CDS-petG,303,114,0.0000%,83.8284%,0.94254440,0.06106972,0.01838835,0.00465866,0.00001843,0.01372969,0.00005835,50.8251%,35.2064%
CDS-petL,299,318,69.4548%,92.9766%,0.98022381,0.03789142,0.02850382,0.00719579,0.00002814,0.02130803,0.00007855,53.1773%,33.9049%
CDS-petN,302,99,8.9304%,65.8940%,0.84874672,0.04645585,0.01242715,0.00373823,0.00002438,0.00868891,0.00004493,39.7351%,41.9274%
CDS-psaA,302,2259,0.4859%,100.0000%,1.00000000,0.07176756,0.02178834,0.00378722,0.00001302,0.01800113,0.00003989,97.6821%,42.7602%
CDS-psaB,302,2212,0.7301%,100.0000%,1.00000000,0.07561655,0.02390057,0.00382224,0.00001190,0.02007833,0.00011518,96.0265%,41.0852%
CDS-psaC,301,246,0.0000%,100.0000%,1.00000000,0.08152869,0.02642163,0.00684751,0.00002221,0.01957412,0.00005014,74.7508%,41.9104%
CDS-psaI,296,183,38.8237%,96.2838%,0.99012345,0.08083239,0.03268222,0.00778391,0.00003037,0.02489831,0.00008784,56.7568%,34.6581%
CDS-psaJ,299,242,44.1112%,99.3311%,0.99837331,0.08934157,0.03301249,0.00802848,0.00002458,0.02498402,0.00007734,66.5552%,39.2656%
CDS-psaL,2,111,0.0000%,100.0000%,1.00000000,0.07207207,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.5856%
CDS-psbA,298,1113,4.7550%,100.0000%,1.00000000,0.05801362,0.02005779,0.00361708,0.00001047,0.01644071,0.00003781,94.6309%,41.9683%
CDS-psbB,299,1641,7.1805%,100.0000%,1.00000000,0.08007278,0.02773522,0.00490039,0.00001556,0.02283482,0.00004864,95.3177%,43.6456%
CDS-psbC,302,1464,3.3479%,100.0000%,1.00000000,0.07863858,0.02248016,0.00404482,0.00001371,0.01843534,0.00004243,96.0265%,44.0033%
CDS-psbD,302,1086,2.3828%,100.0000%,1.00000000,0.05843988,0.01866732,0.00314163,0.00001022,0.01552569,0.00003600,87.0861%,42.6394%
CDS-psbE,301,1500,82.8963%,98.3389%,0.99596501,0.01592103,0.01830779,0.00355889,0.00001230,0.01474890,0.00013646,58.8040%,40.7392%
CDS-psbF,302,120,0.0993%,69.2053%,0.86670715,0.04554465,0.01077742,0.00317508,0.00001763,0.00760234,0.00003601,39.4040%,41.6777%
CDS-psbG,4,678,22.7876%,100.0000%,1.00000000,0.51204523,0.16091446,0.00920666,0.00000000,0.15170781,0.05229979,25.0000%,37.7746%
CDS-psbH,302,334,32.6883%,99.3377%,0.99839228,0.09039767,0.03402577,0.00750366,0.00002363,0.02652211,0.00007174,73.8411%,38.6694%
CDS-psbI,296,198,42.8389%,93.9189%,0.98374082,0.06667766,0.02348055,0.00705489,0.00002300,0.01642566,0.00006320,59.7973%,36.8407%
CDS-psbJ,302,144,14.1694%,89.0728%,0.96668251,0.06720653,0.01817813,0.00511944,0.00002008,0.01305868,0.00004948,50.9934%,40.1650%
CDS-psbK,301,255,27.4419%,99.6678%,0.99919300,0.10289762,0.03749093,0.00796288,0.00002473,0.02952805,0.00009240,72.0930%,35.9136%
CDS-psbL,286,249,51.7440%,74.8252%,0.89910799,0.06298929,0.01445619,0.00372178,0.00001947,0.01073441,0.00023838,45.8042%,32.0559%
CDS-psbM,300,295,63.4237%,92.6667%,0.97963877,0.04945253,0.02263153,0.00707411,0.00002612,0.01555742,0.00006250,55.6667%,30.9947%
CDS-psbN,261,279,52.4739%,88.1226%,0.96396202,0.03443269,0.01668816,0.00474571,0.00001829,0.01194245,0.00006019,53.2567%,44.1574%
CDS-psbT,302,123,13.1723%,95.3642%,0.98653143,0.09124344,0.02238062,0.00716508,0.00002537,0.01521554,0.00005253,54.9669%,34.0992%
CDS-psbZ,287,321,40.7926%,98.2578%,0.99541042,0.04894217,0.02168892,0.00478084,0.00001708,0.01690808,0.00005505,62.0209%,35.1061%
CDS-rbcL,300,1553,7.4462%,100.0000%,1.00000000,0.09202862,0.02946843,0.00558192,0.00001569,0.02388651,0.00004685,98.0000%,43.7778%
CDS-rpl14,305,378,2.6256%,99.6721%,0.99920542,0.10496705,0.03366636,0.00577425,0.00002162,0.02789211,0.00007516,78.0328%,39.1687%
CDS-rpl16,300,534,23.7060%,100.0000%,1.00000000,0.10497138,0.03974549,0.00781762,0.00002801,0.03192787,0.00007899,85.3333%,42.8684%
CDS-rpl2,299,1367,40.8700%,100.0000%,1.00000000,0.06797628,0.01418310,0.00218676,0.00001295,0.01199633,0.00006558,65.8863%,43.8039%
CDS-rpl20,305,911,59.6937%,100.0000%,1.00000000,0.08324474,0.05259430,0.00909038,0.00003552,0.04350392,0.00011985,86.2295%,35.7147%
CDS-rpl22,293,1568,72.1884%,100.0000%,1.00000000,0.12369118,0.09171519,0.01988598,0.00005624,0.07182921,0.00017552,97.2696%,35.3463%
CDS-rpl23,289,1457,80.6095%,88.9273%,0.95775184,0.02401578,0.01815255,0.00483230,0.00017012,0.01332026,0.00014348,41.5225%,37.5784%
CDS-rpl32,272,529,68.1669%,100.0000%,1.00000000,0.08464871,0.06618553,0.01508849,0.00005072,0.05109704,0.00023127,85.2941%,32.4993%
CDS-rpl33,303,541,62.5281%,100.0000%,1.00000000,0.06126495,0.04571274,0.00935496,0.00003365,0.03635777,0.00009731,73.9274%,36.8026%
CDS-rpl36,301,147,22.3541%,96.3455%,0.98809283,0.07960811,0.03027149,0.00680420,0.00004132,0.02346728,0.00008406,54.4850%,37.7430%
CDS-rpoA,295,1584,36.4933%,100.0000%,1.00000000,0.11542742,0.04792829,0.00751066,0.00002579,0.04041762,0.00009595,95.5932%,34.8524%
CDS-rpoB,300,3791,15.8982%,100.0000%,1.00000000,0.09605848,0.03253393,0.00503979,0.00001993,0.02749414,0.00006682,97.6667%,38.9526%
CDS-rpoc1,298,2618,21.5557%,100.0000%,1.00000000,0.08770647,0.03368637,0.00539348,0.00002185,0.02829289,0.00007566,96.3087%,38.5326%
CDS-rpoc2,300,8734,52.6396%,100.0000%,1.00000000,0.08572553,0.04694374,0.00750084,0.00002762,0.03944290,0.00008764,99.0000%,37.4171%
CDS-rps11,303,663,37.1922%,100.0000%,1.00000000,0.09342097,0.04883756,0.00852509,0.00003421,0.04031248,0.00013095,90.4290%,45.0537%
CDS-rps12,301,545,31.6444%,97.3422%,0.99263022,0.03784807,0.01379593,0.00279173,0.00001315,0.01100420,0.00005615,57.1429%,42.4724%
CDS-rps14,303,333,9.2974%,100.0000%,1.00000000,0.09749498,0.03269201,0.00563000,0.00002448,0.02706201,0.00007647,72.9373%,41.1209%
CDS-rps15,297,509,46.5024%,100.0000%,1.00000000,0.10458302,0.05852663,0.01136089,0.00003997,0.04716574,0.00012610,87.2054%,32.1401%
CDS-rps16,266,580,55.8167%,99.6241%,0.99906660,0.09770630,0.04805845,0.00863646,0.00002975,0.03942199,0.00018021,82.7068%,36.7210%
CDS-rps18,302,1292,75.3839%,100.0000%,1.00000000,0.05140951,0.04374777,0.00834730,0.00003918,0.03540047,0.00016715,79.8013%,34.3266%
CDS-rps19,296,647,57.8789%,99.3243%,0.99804325,0.08819854,0.04885149,0.00952958,0.00004393,0.03932191,0.00012439,84.1216%,35.4346%
CDS-rps2,302,1097,35.1045%,100.0000%,1.00000000,0.08320881,0.03670003,0.00623002,0.00002750,0.03047001,0.00009029,91.3907%,38.4657%
CDS-rps3,305,1261,47.5888%,100.0000%,1.00000000,0.08489174,0.05382364,0.00928907,0.00004074,0.04453457,0.00013140,93.4426%,34.5120%
CDS-rps4,305,852,29.0510%,99.6721%,0.99920542,0.09172287,0.03787191,0.00579247,0.00002531,0.03207943,0.00017171,82.6230%,38.1753%
CDS-rps7,298,673,30.7508%,91.2752%,0.97427051,0.03453152,0.01154777,0.00247818,0.00003217,0.00906959,0.00006187,47.3154%,40.3796%
CDS-rps8,304,489,17.5412%,100.0000%,1.00000000,0.12779224,0.04685833,0.00821684,0.00002877,0.03864150,0.00009863,86.5132%,35.6730%
CDS-ycf1,266,15586,71.7009%,100.0000%,1.00000000,0.19178311,0.09123055,0.01690244,0.00006959,0.07432812,0.00026017,97.3684%,30.8084%
CDS-ycf10,2,690,13.0435%,100.0000%,1.00000000,0.32898551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6667%
CDS-ycf15,79,542,63.5737%,100.0000%,1.00000000,0.27517902,0.04613268,0.02112483,0.00171954,0.02500786,0.00055500,54.4304%,40.1103%
CDS-ycf2,286,15596,57.0913%,100.0000%,1.00000000,0.07111814,0.02429166,0.00284721,0.00001745,0.02144445,0.00012845,95.4545%,37.7346%
CDS-ycf3,278,549,7.8016%,100.0000%,1.00000000,0.07806082,0.02119684,0.00423164,0.00001533,0.01696520,0.00005215,81.6547%,39.0705%
CDS-ycf4,276,756,26.4608%,100.0000%,1.00000000,0.08483681,0.03791134,0.00613296,0.00002304,0.03177838,0.00009409,87.3188%,38.8044%
CDS-ycf68,9,417,41.5667%,100.0000%,1.00000000,0.47808420,0.01887788,0.00443312,0.00054753,0.01444475,0.00126589,44.4444%,50.0228%
CDS-ycf9,2,189,0.0000%,100.0000%,1.00000000,0.03703704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.5079%
gene-a6,2,1491,0.0000%,100.0000%,1.00000000,0.00603622,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,56.3380%
gene-accD,296,9429,83.6382%,100.0000%,1.00000000,0.06283212,0.08158614,0.01380865,0.00006431,0.06777749,0.00026780,97.9730%,35.3694%
gene-atpA,303,1606,5.5750%,100.0000%,1.00000000,0.09796397,0.03401781,0.00570445,0.00001908,0.02831336,0.00006803,95.7096%,40.5805%
gene-atpB,303,1826,18.2715%,100.0000%,1.00000000,0.07991681,0.03046154,0.00481343,0.00001540,0.02564811,0.00008864,97.3597%,42.4255%
gene-atpE,303,534,24.4725%,100.0000%,1.00000000,0.08729560,0.03512134,0.00624708,0.00003065,0.02887426,0.00007799,80.8581%,40.1489%
gene-atpF,302,4727,72.7799%,100.0000%,1.00000000,0.08429355,0.05680116,0.01129271,0.00003350,0.04550845,0.00010184,97.0199%,34.0557%
gene-atpH,302,300,17.9338%,98.3444%,0.99517685,0.05969271,0.02128400,0.00494704,0.00001472,0.01633696,0.00004786,70.1987%,45.3276%
gene-atpI,301,840,11.7663%,100.0000%,1.00000000,0.08854475,0.02840516,0.00498535,0.00001630,0.02341981,0.00005725,90.3654%,37.7493%
gene-atpL,2,744,0.0000%,100.0000%,1.00000000,0.10618280,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.6344%
gene-ccsA,297,1526,37.1624%,100.0000%,1.00000000,0.12932701,0.06081842,0.01068162,0.00003545,0.05013680,0.00011349,96.9697%,32.3016%
gene-cemA,299,882,21.9371%,100.0000%,1.00000000,0.12099695,0.04703562,0.00715560,0.00002796,0.03988003,0.00014487,91.9732%,32.7344%
gene-clpP,262,8130,75.4173%,100.0000%,1.00000000,0.10044948,0.07936163,0.01541745,0.00005816,0.06394419,0.00020579,98.8550%,34.9969%
gene-clpp1,29,3021,38.4150%,100.0000%,1.00000000,0.30146202,0.13014590,0.02587451,0.00119313,0.10427139,0.00209294,89.6552%,35.4672%
gene-infA,228,994,76.9128%,100.0000%,1.00000000,0.07470672,0.06757165,0.01325843,0.00014244,0.05431323,0.00036384,78.9474%,36.6130%
gene-lhbA,12,189,0.0000%,91.6667%,0.95350951,0.05611672,0.02453623,0.00668780,0.00035262,0.01784844,0.00145397,66.6667%,34.4797%
gene-matK,302,2804,46.0370%,100.0000%,1.00000000,0.13592480,0.07308605,0.01176335,0.00003943,0.06132270,0.00013463,98.0132%,32.7228%
gene-ndhA,286,6550,66.9157%,100.0000%,1.00000000,0.10151287,0.06592816,0.01391373,0.00004491,0.05201442,0.00010920,98.9510%,33.0367%
gene-ndhB,291,2693,18.6671%,100.0000%,1.00000000,0.05186200,0.00828267,0.00121972,0.00000560,0.00706295,0.00005040,75.6014%,37.9340%
gene-ndhC,285,444,18.1982%,100.0000%,1.00000000,0.06832717,0.02552190,0.00471919,0.00001627,0.02080271,0.00005198,76.8421%,35.8050%
gene-ndhD,283,1751,15.6962%,100.0000%,1.00000000,0.15521519,0.04747222,0.00864390,0.00003494,0.03882833,0.00009488,98.2332%,35.4597%
gene-ndhE,288,318,4.2529%,100.0000%,1.00000000,0.11214365,0.03388053,0.00661056,0.00002067,0.02726997,0.00007071,83.3333%,33.0828%
gene-ndhF,283,3422,35.4732%,100.0000%,1.00000000,0.13867329,0.06626344,0.01206432,0.00003775,0.05419912,0.00011239,98.9399%,32.1557%
gene-ndhG,286,684,22.4477%,100.0000%,1.00000000,0.10908359,0.04106759,0.00777640,0.00002812,0.03329119,0.00008309,90.2098%,33.9428%
gene-ndhH,288,1278,8.5192%,100.0000%,1.00000000,0.11544438,0.03519802,0.00648781,0.00002037,0.02871021,0.00007249,97.2222%,38.1621%
gene-ndhI,286,778,33.8648%,100.0000%,1.00000000,0.11490164,0.03966212,0.00736165,0.00002647,0.03230046,0.00012899,89.5105%,34.6228%
gene-ndhJ,288,560,14.7545%,100.0000%,1.00000000,0.08365826,0.02844623,0.00493049,0.00001823,0.02351575,0.00006136,82.2917%,39.8999%
gene-ndhK,281,1200,40.5664%,100.0000%,1.00000000,0.12724557,0.03782394,0.00606941,0.00002664,0.03175453,0.00017998,89.3238%,38.2316%
gene-orf42,7,129,0.0000%,85.7143%,0.89822652,0.03396087,0.01587465,0.00227402,0.00000000,0.01360063,0.00190765,14.2857%,52.0487%
gene-orf56,4,223,41.1435%,100.0000%,1.00000000,0.54708520,0.24952419,0.00000000,nan,0.24952419,0.10145998,0.0000%,41.3333%
gene-pafI,22,2695,25.7868%,100.0000%,1.00000000,0.16719113,0.07649685,0.01314496,0.00053369,0.06335190,0.00141912,86.3636%,36.3969%
gene-pafiI,26,558,1.8610%,100.0000%,1.00000000,0.14262476,0.05680289,0.00915754,0.00031501,0.04764535,0.00093515,88.4615%,39.2892%
gene-pbf1,36,132,0.0000%,97.2222%,0.98925409,0.06237374,0.02291957,0.00750126,0.00019405,0.01541831,0.00035311,58.3333%,44.7811%
gene-petA,302,1026,6.3543%,100.0000%,1.00000000,0.10155990,0.03437243,0.00590508,0.00002007,0.02846736,0.00006155,94.0397%,39.9420%
gene-petB,300,4036,65.7345%,100.0000%,1.00000000,0.10062741,0.04887611,0.01032093,0.00003102,0.03855518,0.00007910,97.6667%,36.1735%
gene-petD,299,5934,80.2820%,100.0000%,1.00000000,0.07084007,0.05030665,0.01087936,0.00003250,0.03942729,0.00008297,98.3278%,36.8466%
gene-petG,303,114,0.0000%,83.8284%,0.94254440,0.06106972,0.01835961,0.00459322,0.00001852,0.01376639,0.00005820,49.5050%,35.2064%
gene-petL,299,318,69.4548%,92.9766%,0.98022381,0.03789142,0.02850382,0.00719579,0.00002814,0.02130803,0.00007855,53.1773%,33.9049%
gene-petN,302,99,8.9304%,65.8940%,0.84874672,0.04645585,0.01242742,0.00373858,0.00002439,0.00868884,0.00004493,39.7351%,41.9274%
gene-psaA,303,2314,2.8873%,100.0000%,1.00000000,0.07157612,0.02219541,0.00381886,0.00001291,0.01837655,0.00004682,96.3696%,42.7444%
gene-psaB,303,2237,2.0326%,100.0000%,1.00000000,0.07876750,0.02431929,0.00392136,0.00001212,0.02039793,0.00011787,96.3696%,41.0764%
gene-psaC,301,246,0.0000%,100.0000%,1.00000000,0.08152869,0.02642168,0.00684752,0.00002221,0.01957416,0.00005014,74.7508%,41.9104%
gene-psaI,296,189,40.7658%,96.2838%,0.99012345,0.07492965,0.03253529,0.00774739,0.00003021,0.02478790,0.00008906,56.7568%,34.6581%
gene-psaJ,300,245,44.8544%,99.3333%,0.99837968,0.08968953,0.03323159,0.00808358,0.00002469,0.02514801,0.00007850,67.0000%,39.2406%
gene-psaL,2,111,0.0000%,100.0000%,1.00000000,0.07207207,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.5856%
gene-psbA,301,1199,11.5758%,100.0000%,1.00000000,0.05489412,0.02033012,0.00356716,0.00001045,0.01676296,0.00004029,94.6844%,41.9549%
gene-psbB,300,1646,7.6667%,100.0000%,1.00000000,0.08382199,0.02825098,0.00490272,0.00001591,0.02334826,0.00005603,95.6667%,43.6404%
gene-psbC,302,1464,3.3479%,100.0000%,1.00000000,0.07863858,0.02247936,0.00408626,0.00001385,0.01839310,0.00004119,95.6954%,44.0033%
gene-psbD,303,1086,2.6618%,100.0000%,1.00000000,0.06376251,0.01902103,0.00313449,0.00001014,0.01588654,0.00003995,89.1089%,42.6355%
gene-psbE,301,1500,82.8963%,98.3389%,0.99596501,0.01592103,0.01830983,0.00358400,0.00001291,0.01472583,0.00013749,58.4718%,40.7392%
gene-psbF,302,120,0.0993%,69.2053%,0.86670715,0.04554465,0.01077790,0.00317553,0.00001763,0.00760236,0.00003601,39.4040%,41.6777%
gene-psbG,4,678,22.7876%,100.0000%,1.00000000,0.51204523,0.16091446,0.00920666,0.00000000,0.15170781,0.05229979,25.0000%,37.7746%
gene-psbH,303,337,33.2902%,99.3399%,0.99839851,0.09004874,0.03446939,0.00745805,0.00002353,0.02701135,0.00007541,75.2475%,38.6418%
gene-psbI,297,206,45.0508%,93.9394%,0.98380516,0.06471354,0.02376069,0.00691368,0.00002131,0.01684701,0.00007041,58.5859%,36.8006%
gene-psbJ,302,144,14.1694%,89.0728%,0.96668251,0.06720653,0.01820446,0.00514596,0.00002017,0.01305851,0.00004942,50.9934%,40.1650%
gene-psbK,301,255,27.4419%,99.6678%,0.99919300,0.10289762,0.03749088,0.00796356,0.00002473,0.02952732,0.00009240,72.0930%,35.9136%
gene-psbL,288,249,51.7528%,75.0000%,0.89993192,0.06269610,0.01444422,0.00379760,0.00001920,0.01064662,0.00023580,46.5278%,32.0703%
gene-psbM,300,295,63.4237%,92.6667%,0.97963877,0.04934180,0.02251294,0.00697090,0.00002385,0.01554203,0.00006095,56.6667%,30.9947%
gene-psbN,261,279,52.4739%,88.1226%,0.96396202,0.03443269,0.01668827,0.00474605,0.00001828,0.01194222,0.00006019,53.2567%,44.1574%
gene-psbT,302,123,13.1723%,95.3642%,0.98653143,0.09105330,0.02219550,0.00679048,0.00002324,0.01540502,0.00005234,55.9603%,34.0992%
gene-psbZ,287,321,40.7926%,98.2578%,0.99541042,0.04894217,0.02173516,0.00480666,0.00001713,0.01692850,0.00005510,61.6725%,35.1061%
gene-rbcL,301,1595,9.8883%,100.0000%,1.00000000,0.09052781,0.02992597,0.00555179,0.00001564,0.02437419,0.00005342,98.3389%,43.7605%
gene-rpl14,305,378,2.6256%,99.6721%,0.99920542,0.10496705,0.03366648,0.00577424,0.00002162,0.02789224,0.00007516,78.0328%,39.1687%
gene-rpl16,302,6898,80.9575%,100.0000%,1.00000000,0.10080796,0.07864789,0.01848971,0.00005192,0.06015818,0.00011839,98.0132%,34.3878%
gene-rpl2,299,2379,41.9375%,100.0000%,1.00000000,0.11774032,0.01396103,0.00198447,0.00001015,0.01197656,0.00006085,74.9164%,41.8522%
gene-rpl20,305,898,59.1102%,100.0000%,1.00000000,0.08443394,0.05296183,0.00919702,0.00003562,0.04376481,0.00011940,82.6230%,35.7147%
gene-rpl22,293,1582,72.4346%,100.0000%,1.00000000,0.12266218,0.09154432,0.01942101,0.00005717,0.07212331,0.00017302,97.9522%,35.3463%
gene-rpl23,291,1447,80.4760%,89.0034%,0.95809321,0.02408774,0.01836767,0.00486260,0.00022331,0.01350507,0.00015498,41.9244%,37.5801%
gene-rpl32,275,510,66.9783%,100.0000%,1.00000000,0.08890886,0.06680129,0.01501537,0.00005483,0.05178592,0.00021906,82.9091%,32.4639%
gene-rpl33,303,541,62.5281%,100.0000%,1.00000000,0.06128120,0.04571360,0.00902486,0.00003194,0.03668874,0.00009830,74.2574%,36.8026%
gene-rpl36,302,147,22.3544%,96.3576%,0.98813915,0.07982896,0.03032662,0.00689084,0.00004173,0.02343577,0.00008154,51.9868%,37.7343%
gene-rpoA,297,1589,36.8457%,100.0000%,1.00000000,0.11754673,0.04853561,0.00756373,0.00002521,0.04097188,0.00010090,95.6229%,34.8396%
gene-rpoB,302,3828,16.8834%,100.0000%,1.00000000,0.09851363,0.03314277,0.00506991,0.00001934,0.02807286,0.00007676,98.0132%,38.9498%
gene-rpoc1,299,5284,46.9534%,100.0000%,1.00000000,0.09313147,0.04205229,0.00751245,0.00002712,0.03453984,0.00008001,98.6622%,37.7230%
gene-rpoc2,301,8742,52.6788%,100.0000%,1.00000000,0.08555109,0.04689257,0.00734873,0.00002675,0.03954384,0.00008775,98.6711%,37.4210%
gene-rps11,303,661,37.0021%,100.0000%,1.00000000,0.09372880,0.04889161,0.00841870,0.00003247,0.04047290,0.00013179,89.7690%,45.0537%
gene-rps12,302,2586,66.5522%,99.6689%,0.99919614,0.05389837,0.01187544,0.00191189,0.00000819,0.00996354,0.00004851,69.2053%,40.4991%
gene-rps14,303,333,9.2974%,100.0000%,1.00000000,0.09749498,0.03254247,0.00530577,0.00002432,0.02723669,0.00007619,74.2574%,41.1209%
gene-rps15,297,509,46.5024%,100.0000%,1.00000000,0.10468671,0.05875531,0.01119133,0.00003941,0.04756398,0.00012819,86.8687%,32.1401%
gene-rps16,270,6258,82.4821%,100.0000%,1.00000000,0.07398765,0.07595548,0.01502293,0.00005429,0.06093255,0.00017062,97.4074%,33.9786%
gene-rps18,303,1288,75.3129%,100.0000%,1.00000000,0.05141196,0.04430982,0.00873886,0.00005065,0.03557095,0.00016411,75.9076%,34.3163%
gene-rps19,300,672,59.4152%,99.3333%,0.99807389,0.08598735,0.04903023,0.00963655,0.00004705,0.03939368,0.00011992,81.3333%,35.4123%
gene-rps2,303,1114,36.1128%,100.0000%,1.00000000,0.08245797,0.03678550,0.00607627,0.00002599,0.03070923,0.00009214,89.7690%,38.4646%
gene-rps3,305,1280,48.3461%,100.0000%,1.00000000,0.08393994,0.05363448,0.00910881,0.00003802,0.04452567,0.00013328,93.7705%,34.5121%
